label,leftPaddle_y,rightPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
up,286.824,0,278.557744,290.6282755,-409.5,-98.63575,299.411032,295.6274867,joey
stop,197.724,0,93.653176,245.61262,-413.1,-102.23575,113.866264,250.5933597,joey
up,197.724,0,121.339696,198.9766125,416.7,-105.83575,100.0984,204.3430237,joey
stop,79.122,0,372.3782,134.3856102,421.492,-110.62775,351.3136,139.8869977,joey
up,79.122,0,499.609696,100.8452055,423.9,-113.03575,478.424696,106.466993,joey
stop,12,0,580.795544,60.86562712,-427.1,-58.513875,601.268696,63.64664512,joey
down,12,0,494.439776,48.96425637,-428.716,-60.129875,515.845576,51.94075012,joey
stop,70.806,0,366.87604,30.8705995,-431.092,-62.505875,387.970736,33.90457537,joey
up,70.806,0,236.875976,20.17117588,-433.5,64.913875,258.088664,17,joey
stop,12,0,84.801296,43.38103213,-436.3,67.713875,105.280888,40.207316,joey
down,12,0,102.986768,71.03567225,439.492,70.905875,81.461264,67.57088838,joey
stop,91.794,0,280.75168,100.2603759,442.716,74.129875,257.298968,96.3427285,joey
down,91.794,0,457.140368,130.3203723,445.892,77.305875,434.855768,126.4650785,joey
stop,101.892,0,479.891264,134.2733759,446.3,77.713875,457.140368,130.3203723,joey
down,101.892,0,614.589968,158.0276563,448.708,80.121875,593.509528,154.2707641,joey
stop,180.894,0,465.465064,190.6330884,-451.9,83.313875,488.030064,186.4773946,joey
down,180.894,0,330.108824,215.901541,-454.292,85.705875,352.34032,211.7115571,joey
stop,240.69,0,192.669728,242.1495313,-456.708,88.121875,215.019608,237.8411634,joey
down,240.69,0,87.457112,291.9190884,461.116,92.529875,63.489896,287.1183509,joey
stop,289.794,0,202.059896,315.1125134,463.1,94.513875,178.4522,310.3027098,joey
down,289.794,0,294.3752,334.0791785,464.692,96.105875,272.0792,329.4753125,joey
stop,389.388,0,529.127312,383.4324696,468.716,100.129875,504.764896,378.2365321,joey
down,389.388,0,458.847696,444.635641,-473.492,104.905875,482.019992,439.5048571,joey
stop,408,0,363.595072,463,-475.1,-106.513875,386.372224,460.7798759,joey
up,408,0,221.301792,430.9139714,-477.492,-108.905875,244.670088,436.2215472,joey
stop,377.31,0,147.258568,414.0015967,-478.732,-110.145875,173.075104,419.914482,joey
up,377.31,0,17,381.1649617,481.1,-112.513875,28.385592,386.5379797,joey
stop,308.01,0,185.875,341.4356335,483.9,-115.313875,162.657016,346.9430515,joey
up,308.01,0,597.964712,231.7816081,-491.5,-61.6609375,623,234.8951039,joey
up,189.21,0,301.864744,193.5850776,-496.3,-66.4609375,327.144832,196.9433734,joey
stop,179.112,0,276.563848,190.2059737,-496.708,-66.8689375,301.864744,193.5850776,joey
up,179.112,0,177.639776,176.8198752,-498.3,-68.4609375,202.027664,180.1456491,joey
stop,118.92,0,25.910432,155.7616062,-500.732,-70.8929375,52.41552,159.4852239,joey
down,118.92,0,521.289928,45.46411456,-512.3,-82.4609375,546.363816,49.4758885,joey
stop,168.42,0,393.064976,24.69892819,-514.3,-84.4609375,418.749976,28.89197506,joey
up,168.42,0,264.340008,29.70860275,-516.3,86.4609375,289.609896,25.48162081,joey
