,label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
195,down,299.298,334.756344,416.005112,-198.31599999999997,198.31599999999997,344.839248,405.9014,ion
196,down,309.39599999999996,324.652632,426.129632,-198.72400000000002,198.72400000000002,334.756344,416.005112,joey
197,down,328.602,305.37644,445.443496,-199.5,199.5,315.32144,435.478496,joey
198,stop,338.898,295.013256,455.82831200000004,-199.916,199.916,305.37644,445.443496,joey
199,stop,338.898,295.013256,455.82831200000004,-199.916,199.916,305.37644,445.443496,ion
200,up,338.898,235.00012,412.37408,-202.308,-202.308,245.286616,422.660576,joey
201,down,338.898,235.00012,412.37408,-202.308,-202.308,245.286616,422.660576,ion
202,up,229.998,122.74091200000001,300.11487200000005,-206.708,-206.708,133.046312,310.420272,joey
203,up,210.0,101.863504,279.237464,-207.516,-207.516,112.828144,290.202104,joey
204,up,190.002,80.904424,258.27838399999996,-208.324,-208.324,91.704824,269.078784,joey
205,up,180.498,70.914088,248.288048,-208.708,-208.708,80.904424,258.27838399999996,joey
206,up,160.89600000000002,50.251999999999995,227.62596000000002,-209.5,-209.5,60.696999999999996,238.07096,joey
207,up,160.89600000000002,50.251999999999995,227.62596000000002,-209.5,-209.5,60.696999999999996,238.07096,ion
208,stop,151.194,39.996103999999995,217.370064,-209.892,-209.892,50.251999999999995,227.62596000000002,joey
209,down,151.194,39.996103999999995,217.370064,-209.892,-209.892,50.251999999999995,227.62596000000002,ion
210,down,151.194,275.859304,104.419304,220.692,220.692,265.936264,94.496264,joey
211,down,270.192,409.94,238.5,225.5,225.5,399.35033599999997,227.910336,joey
212,up,270.192,409.94,238.5,225.5,225.5,399.35033599999997,227.910336,ion
213,down,280.884,422.12866399999996,250.68866400000002,225.93200000000002,225.93200000000002,409.94,238.5,joey
214,down,299.694,443.628304,272.188304,226.692,226.692,432.756304,261.316304,joey
215,down,320.08799999999997,467.020016,295.580016,227.516,227.516,455.427104,283.987104,joey
216,down,320.08799999999997,467.020016,295.580016,227.516,227.516,455.427104,283.987104,ion
217,down,329.592,477.95,306.51,227.9,227.9,467.020016,295.580016,joey
218,stop,329.592,477.95,306.51,227.9,227.9,467.020016,295.580016,ion
219,down,349.392,500.78,329.34,228.7,228.7,489.355,317.915,joey
220,up,349.392,500.78,329.34,228.7,228.7,489.355,317.915,ion
221,down,369.588,524.149016,352.709016,229.516,229.516,512.683216,341.243216,joey
222,stop,369.588,524.149016,352.709016,229.516,229.516,512.683216,341.243216,ion
223,stop,379.48800000000006,535.634816,364.194816,229.916,229.916,524.149016,352.709016,joey
224,up,379.48800000000006,535.634816,364.194816,229.916,229.916,524.149016,352.709016,ion
225,up,379.48800000000006,505.16997599999996,357.04848799999996,-237.132,-237.132,516.996576,368.875088,joey
226,down,379.48800000000006,505.16997599999996,357.04848799999996,-237.132,-237.132,516.996576,368.875088,ion
227,up,271.38,374.72105600000003,226.599568,-241.5,-241.5,386.766056,238.64456800000002,joey
228,stop,271.38,374.72105600000003,226.599568,-241.5,-241.5,386.766056,238.64456800000002,ion
229,up,251.778,350.81256,202.691072,-242.292,-242.292,362.89716,214.77567200000001,joey
230,up,231.78,326.34116800000004,178.21968,-243.1,-243.1,337.98232,189.86083200000002,joey
231,up,231.78,326.34116800000004,178.21968,-243.1,-243.1,337.98232,189.86083200000002,ion
232,up,221.088,313.22543199999996,165.10394399999998,-243.532,-243.532,326.34116800000004,178.21968,joey
233,up,221.088,313.22543199999996,165.10394399999998,-243.532,-243.532,326.34116800000004,178.21968,ion
234,up,202.08,289.846424,141.724936,-244.3,-244.3,302.031424,153.90993600000002,joey
235,up,182.082,265.172128,117.05063999999999,-245.108,-245.108,277.64142400000003,129.519936,joey
236,up,182.082,265.172128,117.05063999999999,-245.108,-245.108,277.64142400000003,129.519936,ion
237,up,172.18200000000002,252.92672799999997,104.80524,-245.50799999999998,-245.50799999999998,265.172128,117.05063999999999,joey
238,up,172.18200000000002,252.92672799999997,104.80524,-245.50799999999998,-245.50799999999998,265.172128,117.05063999999999,ion
239,up,152.58,228.621472,80.499984,-246.3,-246.3,241.15156000000002,93.030072,joey
240,up,152.58,228.621472,80.499984,-246.3,-246.3,241.15156000000002,93.030072,ion
241,up,132.78,203.991472,55.869983999999995,-247.1,-247.1,216.31647200000003,68.19498399999999,joey
242,stop,132.78,203.991472,55.869983999999995,-247.1,-247.1,216.31647200000003,68.19498399999999,ion
243,up,122.484,191.153088,43.0316,-247.516,-247.516,203.991472,55.869983999999995,joey
244,down,122.484,191.153088,43.0316,-247.516,-247.516,203.991472,55.869983999999995,ion
245,up,102.486,166.15407199999999,18.032584,-248.324,-248.324,179.28153600000002,31.160048,joey
246,stop,102.486,166.15407199999999,18.032584,-248.324,-248.324,179.28153600000002,31.160048,ion
247,stop,93.18,154.49168,17.0,-248.7,248.7,166.15407199999999,18.032584,joey
248,down,93.18,91.91688,79.67570400000001,-250.708,250.708,104.671776,66.9,joey
249,down,93.18,91.91688,79.67570400000001,-250.708,250.708,104.671776,66.9,ion
250,stop,122.682,54.53191999999999,117.12,-251.9,251.9,66.595472,105.03801599999998,joey
251,up,122.682,54.53191999999999,117.12,-251.9,251.9,66.595472,105.03801599999998,ion
252,down,122.682,340.404312,449.350416,263.116,-263.116,326.733096,463.0,joey
253,stop,181.68599999999998,419.168096,370.705112,265.5,-265.5,405.63800000000003,384.2144,joey
254,down,181.68599999999998,419.168096,370.705112,265.5,-265.5,405.63800000000003,384.2144,ion
255,down,181.68599999999998,457.82788,72.602494,-276.732,-140.778,473.01184000000006,80.308984,joey
256,stop,200.49599999999998,431.53844000000004,59.228683999999994,-277.492,-141.53799999999998,445.38304000000005,66.275584,joey
257,up,200.49599999999998,403.234256,44.791808,-278.308,-142.35399999999998,417.396752,52.02065,joey
258,stop,121.69200000000001,291.992536,45.803658,-281.492,145.53799999999998,305.756832,38.6819,joey
259,stop,121.69200000000001,291.992536,45.803658,-281.492,145.53799999999998,305.756832,38.6819,ion
260,down,121.69200000000001,235.614152,75.071258,-283.092,147.138,249.456848,67.8711,joey
261,up,121.69200000000001,235.614152,75.071258,-283.092,147.138,249.456848,67.8711,ion
262,stop,161.49,178.63186399999998,104.8076,-284.7,148.746,192.836864,97.3803,joey
263,down,161.49,75.0584,226.209258,291.092,155.138,61.385912,218.92660800000002,joey
264,down,161.49,75.0584,226.209258,291.092,155.138,61.385912,218.92660800000002,ion
265,down,270.58799999999997,236.66449599999999,312.9047,295.5,159.546,221.899496,304.9374,joey
266,down,290.586,266.5508,329.05965,296.308,160.35399999999998,251.1536,320.732058,joey
267,up,290.586,266.5508,329.05965,296.308,160.35399999999998,251.1536,320.732058,ion
268,down,310.188,295.924496,344.9739,297.1,161.14600000000002,280.7828,336.765858,joey
269,stop,310.188,295.924496,344.9739,297.1,161.14600000000002,280.7828,336.765858,ion
270,down,320.08799999999997,310.789496,353.0412,297.5,161.546,295.924496,344.9739,joey
271,stop,320.08799999999997,310.789496,353.0412,297.5,161.546,295.924496,344.9739,ion
272,stop,408.0,36.182736,57.24725251,159.076,159.076,28.715,49.77951651,joey
273,up,408.0,84.42701600000001,105.49153249999999,161.484,161.484,76.201736,97.26625251,joey
