label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev
down,328.6019999999999,410.5625200000002,337.91353100000015,-240.29999999999976,88.18500000000016,422.5475200000002,333.51428100000015
down,338.5019999999999,398.5575200000002,342.3327810000001,-240.69999999999976,88.58500000000016,410.5625200000002,337.91353100000015
stop,347.6099999999999,387.4937840000002,346.4161550000001,-241.06799999999976,88.95300000000016,398.5575200000002,342.3327810000001
down,347.6099999999999,290.3434720000003,382.7295120000002,-244.27599999999973,92.16100000000016,302.77033600000027,378.03970500000025
stop,377.7059999999999,253.1827200000003,396.8304000000002,-245.4919999999997,93.37700000000017,265.6716000000003,392.0785770000002
down,377.7059999999999,42.21665600000049,448.02671699999996,-252.28399999999968,-100.1690000000002,55.30297600000048,453.203057
stop,407.4059999999999,17,432.97143099999994,253.48399999999967,-152.0535000000003,17.492840000000523,438.21017099999995
up,407.4059999999999,366.4933999999995,220.95010199999922,264.28399999999965,-162.85350000000017,353.0253199999995,229.22441849999925
up,289.0019999999999,525.9656479999993,122.37207699999918,269.06799999999953,-167.63750000000016,513.3282879999994,130.2245314999992
up,268.80599999999987,553.4521999999992,105.27305199999915,269.88399999999956,-168.45350000000013,539.6985199999992,113.83296849999917
up,258.9059999999999,566.9563999999991,96.86037699999915,270.28399999999954,-168.85350000000014,553.4521999999992,105.27305199999915
stop,130.40399999999983,513.6098560000003,81.61706250000005,-275.4759999999994,259.46825000000007,527.3536560000002,68.65365000000003
down,130.40399999999983,458.71095200000036,133.40964825000006,-277.06799999999936,261.06025000000005,472.2584720000003,120.62730000000006
down,239.50199999999987,305.0535280000007,278.46825000000007,-281.4759999999993,265.46825,319.0973280000007,265.20483750000005
down,260.0939999999999,275.7801680000008,306.12021200000004,-282.3079999999993,266.30025,291.2708080000008,291.4857982500001
down,279.1019999999999,248.67860000000087,331.7219,-283.07599999999934,267.06825000000003,262.2386000000008,318.91184000000004
down,298.90199999999993,220.37125600000093,358.468725,-283.87599999999935,267.86825000000005,233.4041600000009,346.1552495
down,308.8019999999999,206.18745600000096,371.8721375,-284.2759999999993,268.26825,220.37125600000093,358.468725
down,328.9979999999999,177.19132000000104,399.277115,-285.0919999999993,269.08425,191.983656000001,385.29555
down,348.5999999999999,148.96724800000112,425.95565974999994,-285.88399999999933,269.87625,163.51612000000108,412.20237499999996
down,358.6979999999999,134.39756800000114,439.7297524999999,-286.29199999999935,270.28425000000004,148.96724800000112,425.95565974999994
stop,368.0039999999999,120.95068000000117,452.4419482499999,-286.6679999999993,270.66025,134.39756800000114,439.7297524999999
up,368.0039999999999,105.1960400000012,463,-287.1079999999993,-271.10025,120.95068000000117,452.4419482499999
stop,279.4979999999999,626.977904,267.2396465527521,-157.908,157.908,635,259.1967425527521
down,279.4979999999999,523.232912,371.2436465527521,-163.09199999999996,163.09199999999996,531.1956080000001,363.2617425527521
stop,299.6939999999999,506.59752800000007,387.92064655275215,-163.90799999999993,163.90799999999993,514.9256240000001,379.57174255275214
up,299.6939999999999,465.636024,428.9817425527521,-165.89999999999992,165.89999999999992,473.901024,420.69674255275214
stop,220.4939999999999,398.7964080000001,438.286472,-169.09999999999988,-169.09999999999988,407.2214080000001,446.711472
up,220.4939999999999,356.2014480000002,395.69151200000005,-171.10799999999986,-171.10799999999986,364.8967440000002,404.38680800000003
up,101.09999999999985,251.8124160000002,291.30248,-175.93199999999982,-175.93199999999982,261.4523760000002,300.94244000000003
up,91.99199999999985,243.72800800000022,283.218072,-176.2999999999998,-176.2999999999998,251.8124160000002,291.30248
up,72.19199999999984,226.09800800000022,265.588072,-177.09999999999982,-177.09999999999982,234.9230080000002,274.413072
up,52.39199999999984,208.38815200000025,247.878216,-177.89999999999984,-177.89999999999984,216.72294400000024,256.213008
up,42.09599999999984,199.14816800000025,238.63823200000002,-178.31599999999983,-178.31599999999983,208.38815200000025,247.878216
stop,32.59199999999984,190.59821600000026,230.08828000000003,-178.69999999999982,-178.69999999999982,199.14816800000025,238.63823200000002
down,32.59199999999984,111.36199999999991,74.42213599999994,190.7239999999998,190.7239999999998,101.45516799999992,64.51530399999994
down,151.19399999999987,227.04087999999976,190.10101599999982,195.51599999999974,195.51599999999974,217.86046399999978,180.92059999999984
down,160.89599999999987,236.63076799999973,199.6909039999998,195.90799999999973,195.90799999999973,227.04087999999976,190.10101599999982
down,180.49799999999988,256.0648639999997,219.12499999999977,196.69999999999973,196.69999999999973,246.23986399999973,209.29999999999978
down,200.49599999999987,275.9723679999997,239.03250399999976,197.50799999999973,197.50799999999973,266.30407999999966,229.36421599999977
down,210.98999999999987,286.45152799999966,249.51166399999974,197.93199999999973,197.93199999999973,275.9723679999997,239.03250399999976
down,230.78999999999988,306.28472799999963,269.3448639999997,198.73199999999972,198.73199999999972,295.56486399999966,258.6249999999997
down,250.7879999999999,326.39746399999956,289.4575999999996,199.5399999999997,199.5399999999997,315.4348639999996,278.49499999999966
down,259.8959999999999,335.58476799999954,298.6449039999996,199.9079999999997,199.9079999999997,326.39746399999956,289.4575999999996
down,279.4979999999999,355.4148639999995,318.47499999999957,200.6999999999997,200.6999999999997,345.38986399999953,308.4499999999996
